"";"Species";"npos";"nabs";"npos.unique";"nabs.unique";"npos.unique.complete";"nabs.unique.complete"
"stats.temp";"Coregonus peled";"1";"10000";"1";"7476";"0";"1469"
"stats.temp.1";"Fundulus heteroclitus";"702";"10000";"676";"7476";"158";"1469"
"stats.temp.2";"Gambusia affinis";"10266";"10002";"5318";"7478";"605";"1469"
"stats.temp.3";"Gambusia holbrooki";"11482";"10116";"6218";"7518";"572";"1469"
"stats.temp.4";"Neogobius fluviatilis";"1505";"10000";"1382";"7476";"329";"1469"
"stats.temp.5";"Oncorhynchus keta";"50856";"19746";"2107";"8143";"518";"1616"
"stats.temp.6";"Oncorhynchus kisutch";"53373";"25784";"2825";"10163";"609";"3474"
"stats.temp.7";"Perccottus glenii";"187";"10000";"179";"7476";"1";"1469"
"stats.temp.8";"Ponticola kessleri";"3003";"10000";"947";"7476";"116";"1469"
"stats.temp.9";"Pseudorasbora parva";"26390";"10407";"3467";"7680";"56";"1474"
"stats.temp.10";"Romanogobio belingi";"361";"10000";"351";"7476";"6";"1469"
"stats.temp.11";"Corbicula fluminalis";"197";"10000";"150";"7476";"32";"1469"
"stats.temp.12";"Dikerogammarus villosus";"1164";"10012";"687";"7485";"43";"1474"
"stats.temp.13";"Echinogammarus ischnus";"286";"10000";"260";"7476";"85";"1469"
"stats.temp.14";"Faxonius rusticus";"3678";"10000";"2896";"7476";"217";"1469"
"stats.temp.15";"Gammarus fasciatus";"139";"10000";"134";"7476";"10";"1469"
"stats.temp.16";"Gmelinoides fasciatus";"29";"10000";"26";"7476";"10";"1469"
"stats.temp.17";"Lithoglyphus naticoides";"504";"10221";"281";"7583";"11";"1474"
"stats.temp.18";"Obesogammarus crassus";"15";"10000";"14";"7476";"4";"1469"
"stats.temp.19";"Potamopyrgus antipodarum";"22910";"10000";"12227";"7476";"1914";"1469"
"stats.temp.20";"Chaetoceros seiracanthus";"34";"10000";"3";"7476";"3";"1469"
"stats.temp.21";"Gracilaria vermiculophylla";"130";"10000";"123";"7476";"69";"1469"
"stats.temp.22";"Coregonus muksun";"1";"10000";"1";"7476";"0";"1469"
"stats.temp.23";"Dreissena polymorpha.csv";"10846";"10015";"7886";"7488";"1348";"1474"
"stats.temp.24";"Misgurnus anguillicaudatus";"1103";"10000";"749";"7476";"31";"1469"
"stats.temp.25";"Corbicula fluminea";"22987";"10017";"18493";"7493";"325";"1469"
"stats.temp.26";"Cancer irroratus";"12214";"10010";"7446";"7486";"6769";"1479"
"stats.temp.27";"Neogobius melanostomus";"26420";"10000";"6359";"7476";"1828";"1469"
"stats.temp.28";"Oncorhynchus gorbuscha";"35993";"23066";"2681";"9451";"491";"2893"
"stats.temp.29";"Elodea nuttallii";"55128";"10044";"35995";"7520";"1695";"1472"
"stats.temp.30";"Nymphoides peltata";"17337";"10007";"10489";"7483";"669";"1469"
"stats.temp.31";"Pistia stratiotes";"9115";"10003";"4020";"7478";"522";"1470"
"stats.temp.32";"Faxonius limosus";"24862";"10447";"4901";"7615";"129";"1469"
"stats.temp.33";"Faxonius immunis";"95";"10000";"89";"7476";"10";"1469"
