V1;V2;V3;V4;V5;V6
Fundulus heteroclitus;0.792;0.875;0.841;0.891;0.725
Gambusia affinis;0.842;0.805;0.854;0.845;0.852
Gambusia holbrooki;0.884;0.928;0.888;0.895;0.882
Neogobius fluviatilis;0.919;0.968;0.982;0.973;0.972
Oncorhynchus keta;0.823;0.844;0.842;0.827;0.86
Oncorhynchus kisutch;0.899;0.873;0.893;0.877;0.869
Ponticola kessleri;0.976;0.979;0.978;0.977;0.983
Pseudorasbora parva;0.503;0.535;0.599;0.528;0.529
Corbicula fluminalis;0.955;0.963;0.96;0.963;0.921
Dikerogammarus villosus;0.828;0.933;0.931;0.926;0.926
Echinogammarus ischnus;0.971;0.972;0.974;0.974;0.974
Faxonius rusticus;0.971;0.974;0.971;0.972;0.974
Gammarus fasciatus;0.979;0.832;0.978;0.975;0.968
Lithoglyphus naticoides;0.72;0.62;0.592;0.743;0.713
Potamopyrgus antipodarum;0.631;0.68;0.636;0.67;0.689
Gracilaria vermiculophylla;0.8;0.776;0.812;0.791;0.871
Dreissena polymorpha.csv;0.944;0.907;0.919;0.944;0.929
Misgurnus anguillicaudatus;0.708;0.626;0.626;0.632;0.701
Corbicula fluminea;0.773;0.763;0.765;0.749;0.75
Cancer irroratus;0.724;0.722;0.731;0.759;0.718
Neogobius melanostomus;0.838;0.846;0.865;0.844;0.863
Oncorhynchus gorbuscha;0.883;0.906;0.908;0.886;0.898
Elodea nuttallii;0.831;0.631;0.723;0.527;0.677
Nymphoides peltata;0.656;0.661;0.728;0.591;0.629
Pistia stratiotes;0.915;0.89;0.898;0.93;0.929
Faxonius limosus;0.744;0.638;0.684;0.669;0.626
